Title;2010;2011;2012;2013;2014;2015
Department;;;;;;
Education;47042.0;66951.0;64958.0;65556.0;70907.0;71279.0
NHS (Health);89450.0;122426.0;124101.0;127901.0;135535.0;142216.0
Personal Social Services (Health);1471.0;0.0;0.0;0.0;0.0;0.0
Transport;12975.0;13208.0;12672.0;13133.0;19086.0;21016.0
CLG Communities;10990.0;5538.0;4341.0;6205.0;7280.0;8847.0
CLG Local Government;25442.0;26113.0;23329.0;27605.0;25837.0;22214.0
Business, Innovation and Skills;22448.0;21672.0;22720.0;21794.0;24652.0;28225.0
Home Office;13952.0;13462.0;12845.0;12615.0;13487.0;12421.0
Justice;9499.0;8888.0;9416.0;7555.0;7439.0;6984.0
Law Officers' Departments;656.0;618.0;598.0;584.0;564.0;539.0
Defence;36477.0;45185.0;41584.0;40789.0;42729.0;42040.0
Foreign and Commonwealth Office;2287.0;2228.0;2114.0;2183.0;1951.0;2013.0
International Development;7770.0;7917.0;7943.0;10129.0;9806.0;10347.0
Energy and Climate Change;8327.0;6286.0;8526.0;7849.0;9285.0;13278.0
Environment, Food and Rural Affairs;2301.0;2314.0;2357.0;2136.0;2426.0;2092.0
Culture, Media and Sport;7143.0;7105.0;7536.0;6056.0;7061.0;6917.0
Work and Pensions;160522.0;166904.0;173156.0;170603.0;174740.0;177128.0
Scotland;31701.0;30786.0;30855.0;31350.0;33081.0;33424.0
Wales;15395.0;14934.0;15003.0;15339.0;15662.0;16018.0
Northern Ireland;14372.0;18543.0;18541.0;18543.0;19553.0;20116.0
Chancellor's Departments;29885.0;23441.0;23836.0;40424.0;0.0;39691.0
Cabinet Office;0.0;11187.0;11941.0;11169.0;13449.0;12846.0
Small and Independent Bodies;1288.0;1502.0;1318.0;1483.0;1541.0;2104.0
Other;;;;;;
Central government gross debt interest;46609.0;49704.0;48856.0;48668.0;45422.0;46683.0
Locally financed expenditure;28686.0;38447.0;29563.0;30083.0;34239.0;33869.0
Public sector depreciation;31441.0;32757.0;33781.0;34907.0;36034.0;38442.0
Net expenditure transfers to the EU;8414.0;7702.0;9131.0;9716.0;8881.0;9315.0
Public corporations' own-financed capital expenditure;9157.0;6640.0;7197.0;7983.0;8506.0;7272.0
Accounting adjustments;36428.0;0.0;0.0;0.0;0.0;0.0
